order_id,customer_id,rider_id,facility_id,order_date,order_time,service_type,weight_kg,base_price_per_kg,discount_pct,final_amount,payment_method,status,pickup_time,delivery_time,customer_rating,is_first_order,promo_used
ORD00001,CUST0251,RIDER021,FAC08,11-07-2023,11.26.59,Ironing,4.9,149,0,730.1,Debit Card,Completed,11-07-2023 14.38,12-07-2023 11.43,3.9,FALSE,FALSE
ORD00002,CUST0149,RIDER003,FAC05,12-08-2023,12.46.58,Wash & Fold,5,199,0,995,UPI,Completed,12-08-2023 16.08,13-08-2023 17.56,3.4,FALSE,FALSE
ORD00003,CUST0301,RIDER016,FAC04,08-01-2024,2.41.05,Dry Clean,2.4,399,0,957.6,UPI,Cancelled,,,,FALSE,FALSE
ORD00004,CUST0494,RIDER036,FAC03,10-05-2024,12.08.55,Dry Clean,1.4,399,0,558.6,Cash,Delayed,10-05-2024 14.18,11-05-2024 9.50,,FALSE,FALSE
ORD00005,CUST0046,RIDER042,FAC04,05-01-2024,11.41.02,Wash & Iron,5.6,299,10,1506.96,Wallet,Completed,05-01-2024 13.18,06-01-2024 9.45,4.3,FALSE,TRUE
ORD00006,CUST0480,RIDER048,FAC05,16-12-2024,17.27.44,Dry Clean,3.9,399,20,1244.88,UPI,Completed,16-12-2024 21.27,17-12-2024 12.35,2.5,FALSE,TRUE
ORD00007,CUST0240,RIDER018,FAC04,18-09-2023,5.38.15,Ironing,4.2,149,10,563.22,UPI,Cancelled,,,,FALSE,FALSE
ORD00008,CUST0090,RIDER040,FAC07,18-05-2024,12.54.52,Ironing,6,149,0,894,Cash,Completed,18-05-2024 16.10,19-05-2024 10.55,3.8,TRUE,FALSE
ORD00009,CUST0489,RIDER022,FAC05,24-05-2023,12.34.16,Dry Clean,4.3,399,20,1372.56,Wallet,Completed,24-05-2023 13.59,25-05-2023 2.43,4.3,TRUE,FALSE
ORD00010,CUST0455,RIDER046,FAC05,22-06-2024,2.08.33,Dry Clean,1.4,399,0,558.6,UPI,Completed,22-06-2024 3.12,23-06-2024 0.23,4.1,FALSE,FALSE
ORD00011,CUST0282,RIDER059,FAC08,21-06-2023,12.55.41,Dry Clean,7.7,399,0,3072.3,Wallet,Completed,21-06-2023 16.02,22-06-2023 10.46,4.5,FALSE,FALSE
ORD00012,CUST0058,RIDER004,FAC04,12-06-2024,10.29.33,Premium Care,7.1,599,0,4252.9,Wallet,Completed,12-06-2024 12.50,13-06-2024 4.11,3.8,FALSE,FALSE
